date,unit_nav,cumulative_nav,adjusted_nav,change_pct,id,fid,source,insert_date
2023-08-18,1.114,1.114,1.114,0.45085663,77935325,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-08-11,1.109,1.109,1.109,-0.26978417,77935324,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-08-04,1.112,1.112,1.112,-1.3309671699999999,77935323,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-07-28,1.127,1.127,1.127,1.44014401,77935322,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-07-21,1.111,1.111,1.111,1.2762078399999999,77935321,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-07-14,1.097,1.097,1.097,-0.36330608999999997,77935320,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-07-07,1.101,1.101,1.101,0.09090909,77935319,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-06-30,1.1,1.1,1.1,0.18214936,77935318,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-06-21,1.098,1.098,1.098,0.2739726,77935317,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-06-16,1.095,1.095,1.095,0.18298261999999998,77935316,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-06-09,1.093,1.093,1.093,0.0,77935315,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-06-02,1.093,1.093,1.093,-0.54595086,77935314,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-05-26,1.099,1.099,1.099,1.01102941,77935313,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-05-19,1.088,1.088,1.088,-0.18348624,77935312,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-05-12,1.09,1.09,1.09,0.09182736,77935311,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-05-05,1.089,1.089,1.089,0.8333333300000001,77935310,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-04-28,1.08,1.08,1.08,0.18552876,77935309,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-04-21,1.078,1.078,1.078,-1.01010101,77935308,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-04-14,1.089,1.089,1.089,0.27624309,77935307,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-04-07,1.086,1.086,1.086,-1.54125113,77935306,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-03-31,1.103,1.103,1.103,-0.80935252,77935305,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-03-24,1.112,1.112,1.112,1.55251142,77935304,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-03-17,1.095,1.095,1.095,-0.63520871,77935303,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-03-10,1.102,1.102,1.102,0.36429872,77935302,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-03-03,1.098,1.098,1.098,0.0,77935301,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-02-24,1.098,1.098,1.098,0.45745654,77935300,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-02-17,1.093,1.093,1.093,-0.27372262999999997,77935299,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-02-10,1.096,1.096,1.096,2.04841713,77935298,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-02-03,1.074,1.074,1.074,2.09125475,77935297,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-01-20,1.052,1.052,1.052,0.0,77935296,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-01-13,1.052,1.052,1.052,-0.66100094,77935295,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-01-06,1.059,1.059,1.059,-0.46992481,77935294,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-12-30,1.064,1.064,1.064,-1.02325581,77935293,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-12-23,1.075,1.075,1.075,1.03383459,77935292,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-12-16,1.064,1.064,1.064,1.3333333299999999,77935291,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-12-09,1.05,1.05,1.05,0.67114094,77935290,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-12-02,1.043,1.043,1.043,1.65692008,77935289,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-11-25,1.026,1.026,1.026,0.98425197,77935288,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-11-18,1.016,1.016,1.016,-0.48971596,77935287,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-11-11,1.021,1.021,1.021,-0.48732943,77935286,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-11-04,1.026,1.026,1.026,2.80561122,77935285,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-10-28,0.998,0.998,0.998,-0.2,77935284,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-10-21,1.0,1.0,1.0,1.4198783,77935283,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-10-14,0.986,0.986,0.986,2.1761658,77935282,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-09-30,0.965,0.965,0.965,-1.7311609,77935281,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-09-23,0.982,0.982,0.982,-0.30456853,77935280,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-09-16,0.985,0.985,0.985,-0.60544904,77935279,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-09-09,0.991,0.991,0.991,-0.8999999999999999,77935278,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-09-02,1.0,1.0,1.0,0.0,77935277,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-08-26,1.0,1.0,1.0,0.0,77935276,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-08-19,1.0,1.0,1.0,0.0,77935275,1efcf35e914e1b54,10,2026-06-30 11:05:16
2022-08-12,1.0,1.0,1.0,0.0,77935274,1efcf35e914e1b54,10,2026-06-30 11:05:16
